=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.251
Time_from_Epoch = 1769991310
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
56.117	1.90854	0.001	0.998297	4.88872e-05	7.27552e-07	3.09225	2.26536e-18	1.56553	2.25743e-18	1.57109	1	4.31302e-05	1.86021e-09	1.57123	2.3093e-18	1.57983	2.15533e-18	1.57127
78.637	2.86281	0.0015	0.998297	7.33332e-05	7.29731e-07	3.06764	4.84222e-18	1.56268	4.83473e-18	1.57104	1	6.47027e-05	4.18644e-09	1.57144	4.85436e-18	1.58484	4.53812e-18	1.57136
101.197	3.81708	0.002	0.998297	9.77824e-05	7.32783e-07	3.04313	8.41759e-18	1.55986	8.39442e-18	1.57101	1	8.62841e-05	7.44494e-09	1.57166	8.441e-18	1.5897	7.89028e-18	1.57145
124.14	4.77135	0.0025	0.998297	0.000122236	7.36707e-07	3.01872	1.30522e-17	1.5571	1.30445e-17	1.57105	1	0.000107877	1.16375e-08	1.57187	1.30993e-17	1.5945	1.22501e-17	1.57154
146.801	5.72561	0.003	0.998297	0.000146694	7.41505e-07	2.99445	1.87568e-17	1.55434	1.87375e-17	1.57106	1	0.000129485	1.67664e-08	1.57209	1.88061e-17	1.59932	1.75774e-17	1.57168
172.885	6.67988	0.0035	0.998297	0.000171159	7.47177e-07	2.97034	2.54751e-17	1.55157	2.54577e-17	1.57109	1	0.000151111	2.28346e-08	1.5723	2.55637e-17	1.6041	2.38943e-17	1.5718
197.828	7.63415	0.004	0.998297	0.00019563	7.53725e-07	2.94641	3.33803e-17	1.54885	3.33638e-17	1.57111	0.999999	0.000172758	2.98452e-08	1.57252	3.34864e-17	1.60881	3.13008e-17	1.57192
222.414	8.58842	0.0045	0.998297	0.00022011	7.61151e-07	2.9227	4.23555e-17	1.54615	4.23249e-17	1.57115	0.999999	0.000194428	3.78023e-08	1.57274	4.24822e-17	1.61354	3.97072e-17	1.57206
245.267	9.54269	0.005	0.998297	0.000244599	7.69455e-07	2.89922	5.24918e-17	1.54346	5.24555e-17	1.57118	0.999999	0.000216125	4.67101e-08	1.57295	5.26646e-17	1.61823	4.91982e-17	1.57219
267.566	10.497	0.0055	0.998296	0.000269098	7.78639e-07	2.87599	6.38595e-17	1.5408	6.38058e-17	1.5712	0.999999	0.000237852	5.65736e-08	1.57317	6.40398e-17	1.62287	5.98251e-17	1.57232
