=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769729762
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
54.83	1.90854	0.001	0.998297	5.62195e-06	7.25771e-07	-3.14024	3.45347e-23	-1.24048	8.75394e-23	-1.44533	1	6.65816e-11	7.40606e-20	2.90219	4.62172e-24	2.32378	2.46328e-21	-1.55219
80.699	3.81708	0.002	0.998297	1.12439e-05	7.25655e-07	-3.13888	7.16082e-23	-0.44447	5.19052e-23	-0.677506	1	3.49383e-11	1.11705e-18	3.12375	4.25225e-23	2.74065	9.2532e-21	-1.52361
105.559	5.72561	0.003	0.998297	1.68658e-05	7.25463e-07	-3.13752	2.96456e-22	-0.0555213	1.76191e-22	-0.170093	1	2.11013e-11	5.6509e-18	-3.12762	1.89055e-22	3.02984	2.10294e-20	-1.49827
128.725	7.63415	0.004	0.998297	2.24877e-05	7.25194e-07	-3.13617	9.29912e-22	-0.0280533	5.50367e-22	-0.0552739	1	2.09874e-11	1.78572e-17	-3.1161	5.89579e-22	3.12933	3.77464e-20	-1.4731
153.195	9.54269	0.005	0.998297	2.81097e-05	7.24847e-07	-3.13481	2.26854e-21	-0.0231471	1.35656e-21	-0.0474251	1	2.17989e-11	4.35893e-17	-3.10681	1.44283e-21	-3.13901	5.89592e-20	-1.44781
176.108	11.4512	0.006	0.998297	3.37316e-05	7.24424e-07	-3.13346	4.70539e-21	-0.0140622	2.82126e-21	0.00596936	1	2.71844e-11	9.03647e-17	-3.09875	2.99883e-21	3.13654	8.50033e-20	-1.42281
201.622	13.3598	0.007	0.998297	3.93536e-05	7.23925e-07	-3.1321	8.70582e-21	-0.0136536	5.2375e-21	0.0093816	1	3.51469e-11	1.67364e-16	-3.09098	5.55321e-21	3.13571	1.16009e-19	-1.39784
226.633	15.2683	0.008	0.998297	4.49756e-05	7.23348e-07	-3.13075	1.48493e-20	-0.00756936	8.9546e-21	0.0194769	1	4.67086e-11	2.85421e-16	-3.08341	9.47585e-21	-3.14031	1.52545e-19	-1.37327
251.658	17.1768	0.009	0.998297	5.05975e-05	7.22696e-07	-3.12939	2.37849e-20	-0.01003	1.43559e-20	0.0229817	1	6.15007e-11	4.57021e-16	-3.0759	1.51841e-20	-3.13201	1.94525e-19	-1.34899
274.24	19.0854	0.01	0.998297	5.62195e-05	7.21966e-07	-3.12804	3.62528e-20	-0.00909221	2.19035e-20	0.0299447	1	8.23503e-11	6.96266e-16	-3.06851	2.3152e-20	-3.12741	2.42302e-19	-1.32486
298.592	20.9939	0.011	0.998297	6.18415e-05	7.21161e-07	-3.12668	5.30627e-20	-0.0128259	3.2055e-20	0.0311963	1	1.06628e-10	1.01893e-15	-3.0611	3.38936e-20	-3.12617	2.9531e-19	-1.30065
323.976	22.9025	0.012	0.998297	6.74635e-05	7.2028e-07	-3.12532	7.51707e-20	-0.0118167	4.54483e-20	0.036252	1	1.36273e-10	1.44235e-15	-3.05371	4.80085e-20	-3.12427	3.5456e-19	-1.2767
350.247	24.811	0.013	0.998297	7.30856e-05	7.19323e-07	-3.12397	1.03525e-19	-0.0137047	6.25891e-20	0.0396574	1	1.71691e-10	1.98552e-15	-3.04634	6.61055e-20	-3.12465	4.1932e-19	-1.25262
375.707	26.7195	0.014	0.998297	7.87076e-05	7.1829e-07	-3.12261	1.3928e-19	-0.0142928	8.41943e-20	0.0428815	1	2.12715e-10	2.669e-15	-3.03896	8.89394e-20	-3.12182	4.9156e-19	-1.22913
398.728	28.6281	0.015	0.998297	8.43297e-05	7.17182e-07	-3.12126	1.83504e-19	-0.0155431	1.10902e-19	0.0463266	1	2.60233e-10	3.51495e-15	-3.03159	1.17195e-19	-3.12062	5.70098e-19	-1.20568
423.453	30.5366	0.016	0.998297	8.99518e-05	7.15998e-07	-3.1199	2.3754e-19	-0.0157748	1.43542e-19	0.0504837	1	3.14651e-10	4.54703e-15	-3.02422	1.51774e-19	-3.11942	6.55523e-19	-1.18239
448.98	32.4451	0.017	0.998297	9.55739e-05	7.1474e-07	-3.11855	3.02734e-19	-0.0170907	1.8286e-19	0.0530394	1	3.76504e-10	5.79057e-15	-3.01685	1.93473e-19	-3.11794	7.4902e-19	-1.15956
473.987	34.3537	0.018	0.998297	0.000101196	7.13407e-07	-3.1172	3.80543e-19	-0.0181695	2.29771e-19	0.0564067	1	4.45847e-10	7.2723e-15	-3.00947	2.43114e-19	-3.11683	8.49981e-19	-1.1367
497.123	36.2622	0.019	0.998297	0.000106818	7.11999e-07	-3.11584	4.72511e-19	-0.0189922	2.85167e-19	0.0599074	1	5.23323e-10	9.02058e-15	-3.00209	3.01746e-19	-3.11545	9.58872e-19	-1.11401
523.115	38.1708	0.02	0.998297	0.00011244	7.10517e-07	-3.11449	5.80096e-19	-0.0201356	3.49906e-19	0.0630711	1	6.09936e-10	1.10652e-14	-2.99471	3.7058e-19	-3.11329	1.07712e-18	-1.09184
548.13	40.0793	0.021	0.998297	0.000118063	7.08962e-07	-3.11313	7.05163e-19	-0.0206873	4.25102e-19	0.0667722	1	7.05478e-10	1.34374e-14	-2.98732	4.50469e-19	-3.11268	1.20344e-18	-1.06973
573.577	41.9878	0.022	0.998297	0.000123685	7.07333e-07	-3.11178	8.49479e-19	-0.0212397	5.11844e-19	0.070335	1	8.10599e-10	1.61699e-14	-2.97993	5.42495e-19	-3.11166	1.33892e-18	-1.04764
597.068	43.8964	0.023	0.998297	0.000129307	7.05631e-07	-3.11043	1.01479e-18	-0.0224687	6.11021e-19	0.0731144	1	9.25221e-10	1.92969e-14	-2.97253	6.48154e-19	-3.11032	1.48519e-18	-1.02609
619.529	45.8049	0.024	0.998297	0.000134929	7.03856e-07	-3.10907	1.20314e-18	-0.023706	7.23874e-19	0.0760604	1	1.05155e-09	2.2854e-14	-2.96514	7.68525e-19	-3.10861	1.64195e-18	-1.00484
645.561	47.7135	0.025	0.998297	0.000140552	7.02008e-07	-3.10772	1.41679e-18	-0.0247096	8.51802e-19	0.0793615	1	1.18771e-09	2.68781e-14	-2.95773	9.04796e-19	-3.10718	1.8094e-18	-0.983701
670.686	49.622	0.026	0.998297	0.000146174	7.00088e-07	-3.10637	1.65766e-18	-0.0254888	9.95827e-19	0.082803	1	1.33581e-09	3.14075e-14	-2.95032	1.05853e-18	-3.10597	1.98774e-18	-0.962803
