=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769740224
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
52.828	1.90854	0.001	0.998297	4.88881e-05	7.27559e-07	3.09225	2.23573e-18	1.56327	2.22213e-18	1.56885	1	4.31286e-05	1.86007e-09	1.57107	2.25873e-18	1.57763	2.11256e-18	1.56891
74.862	2.86281	0.0015	0.998297	7.33365e-05	7.29747e-07	3.06764	4.80339e-18	1.55913	4.79904e-18	1.5675	1	6.46971e-05	4.18572e-09	1.5712	4.8491e-18	1.5813	4.53678e-18	1.56771
96.874	3.81708	0.002	0.998297	9.779e-05	7.32811e-07	3.04312	8.36943e-18	1.55509	8.35531e-18	1.56629	1	8.62709e-05	7.44267e-09	1.57134	8.42123e-18	1.58495	7.88134e-18	1.56652
118.934	4.77135	0.0025	0.998297	0.000122251	7.36752e-07	3.0187	1.29868e-17	1.55108	1.29751e-17	1.56506	1	0.000107852	1.1632e-08	1.57148	1.29839e-17	1.58865	1.21398e-17	1.56538
141.203	5.72561	0.003	0.998297	0.00014672	7.41572e-07	2.99442	1.85596e-17	1.54705	1.85421e-17	1.56387	1	0.000129441	1.6755e-08	1.57161	1.8616e-17	1.59226	1.73975e-17	1.56424
163.216	6.67988	0.0035	0.998297	0.000171199	7.47272e-07	2.9703	2.51541e-17	1.54302	2.51389e-17	1.56266	1	0.000151041	2.28133e-08	1.57175	2.523e-17	1.5959	2.35826e-17	1.5631
185.294	7.63415	0.004	0.998297	0.000195691	7.53855e-07	2.94636	3.27825e-17	1.53901	3.27496e-17	1.56148	1	0.000172653	2.98089e-08	1.57188	3.28417e-17	1.59954	3.07009e-17	1.56197
207.387	8.58842	0.0045	0.998296	0.000220197	7.61322e-07	2.92262	4.14355e-17	1.53499	4.13854e-17	1.56027	1	0.000194278	3.7744e-08	1.57202	4.14747e-17	1.60316	3.87562e-17	1.56082
229.644	9.54269	0.005	0.998296	0.000244719	7.69675e-07	2.89911	5.10518e-17	1.53096	5.09701e-17	1.55908	0.999999	0.00021592	4.66212e-08	1.57216	5.11187e-17	1.6068	4.77625e-17	1.5597
251.739	10.497	0.0055	0.998296	0.000269258	7.78919e-07	2.87585	6.16681e-17	1.52693	6.15675e-17	1.55788	0.999999	0.000237578	5.64433e-08	1.57229	6.17601e-17	1.61042	5.76972e-17	1.55854
