=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769732068
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
56.512	1.90854	0.001	0.998297	4.88835e-05	7.27526e-07	3.09225	2.26391e-18	1.56385	2.25516e-18	1.56939	1	4.31239e-05	1.85967e-09	1.57062	2.31451e-18	1.5781	2.16203e-18	1.56949
82.609	3.81708	0.002	0.998297	9.7753e-05	7.32673e-07	3.04315	8.35611e-18	1.55637	8.34799e-18	1.56756	1	8.62341e-05	7.43631e-09	1.57045	8.42487e-18	1.58623	7.87554e-18	1.56785
106.353	5.72561	0.003	0.998297	0.000146595	7.41245e-07	2.99454	1.86359e-17	1.54905	1.86199e-17	1.56582	1	0.000129317	1.67228e-08	1.57028	1.86451e-17	1.59418	1.74286e-17	1.56627
131.213	7.63415	0.004	0.998297	0.000195395	7.53229e-07	2.94662	3.29498e-17	1.54176	3.29274e-17	1.56412	1	0.000172358	2.97071e-08	1.5701	3.30029e-17	1.60204	3.08495e-17	1.56472
156.606	9.54269	0.005	0.998297	0.000244139	7.68609e-07	2.89962	5.14675e-17	1.5345	5.14059e-17	1.56241	1	0.000215343	4.63727e-08	1.56993	5.15515e-17	1.60982	4.81587e-17	1.56315
182.592	11.4512	0.006	0.998297	0.000292815	7.87367e-07	2.85371	7.4159e-17	1.52727	7.40468e-17	1.56072	1	0.00025826	6.66984e-08	1.56976	7.4304e-17	1.61756	6.93785e-17	1.56158
208.326	13.3598	0.007	0.998298	0.000341407	8.09476e-07	2.80903	1.01115e-16	1.52006	1.00915e-16	1.55902	1	0.000301095	9.0658e-08	1.56958	1.01366e-16	1.62525	9.45879e-17	1.56003
232.904	15.2683	0.008	0.998298	0.000389903	8.34908e-07	2.76573	1.32426e-16	1.51291	1.32088e-16	1.55733	1	0.000343834	1.18221e-07	1.56941	1.32786e-16	1.63287	1.23833e-16	1.55848
255.886	17.1768	0.009	0.998298	0.000438289	8.6363e-07	2.72389	1.68069e-16	1.50578	1.67543e-16	1.55563	1	0.000386463	1.49353e-07	1.56924	1.68514e-16	1.64046	1.5704e-16	1.55692
280.264	19.0854	0.01	0.998299	0.000486551	8.95603e-07	2.68358	2.08172e-16	1.4987	2.07379e-16	1.55393	1	0.000428969	1.84014e-07	1.56907	2.08795e-16	1.64795	1.94418e-16	1.55537
