=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769736467
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
54.817	152.683	0.08	0.997987	0.00572168	2.77169e-05	1.73837	1.09518e-13	-1.03068	8.79487e-14	-1.27283	0.999682	0.00524819	2.75543e-05	1.60358	8.65785e-14	-1.71253	8.99305e-14	-1.28174
77.556	154.592	0.081	0.99797	0.00586456	2.9163e-05	1.73516	1.33108e-13	-1.05354	1.09219e-13	-1.28261	0.999666	0.00538455	2.90058e-05	1.60443	1.0725e-13	-1.69207	1.11496e-13	-1.29069
101.174	156.5	0.082	0.997953	0.0060121	3.06984e-05	1.73207	1.61646e-13	-1.07451	1.35167e-13	-1.29124	0.999648	0.00552554	3.05458e-05	1.60531	1.32475e-13	-1.67322	1.37776e-13	-1.29857
125.824	158.409	0.083	0.997934	0.00616457	3.23302e-05	1.7291	1.96153e-13	-1.09375	1.66777e-13	-1.29885	0.999629	0.0056714	3.21811e-05	1.60622	1.63218e-13	-1.65575	1.69765e-13	-1.30552
149.656	160.317	0.084	0.997914	0.00632226	3.40661e-05	1.72623	2.37866e-13	-1.11142	2.05246e-13	-1.30556	0.999609	0.00582243	3.39194e-05	1.60716	2.00648e-13	-1.6395	2.08663e-13	-1.31165
172.047	162.226	0.085	0.997893	0.00648548	3.59146e-05	1.72349	2.88285e-13	-1.12766	2.52028e-13	-1.31147	0.999588	0.00597893	3.57691e-05	1.60813	2.46189e-13	-1.62431	2.55933e-13	-1.31703
195.147	164.134	0.086	0.99787	0.00665456	3.78852e-05	1.72085	3.49234e-13	-1.1426	3.0889e-13	-1.31666	0.999565	0.00614123	3.77393e-05	1.60915	3.01571e-13	-1.61005	3.13352e-13	-1.32174
217.786	166.043	0.087	0.997846	0.00682986	3.99883e-05	1.71833	4.22929e-13	-1.15633	3.77987e-13	-1.32119	0.999541	0.00630969	3.98404e-05	1.6102	3.68906e-13	-1.5966	3.83086e-13	-1.32585
240.109	167.951	0.088	0.99782	0.00701179	4.22355e-05	1.71592	5.12079e-13	-1.16895	4.61953e-13	-1.32513	0.999515	0.0064847	4.20836e-05	1.61129	4.50775e-13	-1.58388	4.6778e-13	-1.3294
262.323	169.86	0.089	0.997793	0.00720076	4.46394e-05	1.71363	6.19986e-13	-1.18054	5.64006e-13	-1.32852	0.999488	0.00666668	4.44815e-05	1.61243	5.50337e-13	-1.57179	5.70671e-13	-1.33245
284.659	171.768	0.09	0.997763	0.00739723	4.72143e-05	1.71146	7.507e-13	-1.19118	6.88095e-13	-1.33141	0.999458	0.00685608	4.7048e-05	1.61361	6.71464e-13	-1.56025	6.95723e-13	-1.33501
307.629	173.677	0.091	0.997732	0.00760172	4.99761e-05	1.7094	9.0919e-13	-1.20093	8.39075e-13	-1.33382	0.999427	0.00705339	4.97987e-05	1.61484	8.18922e-13	-1.54921	8.47813e-13	-1.33713
329.989	175.586	0.092	0.997698	0.00781476	5.29425e-05	1.70747	1.10157e-12	-1.20984	1.02292e-12	-1.33578	0.999393	0.00725916	5.27509e-05	1.61613	9.98582e-13	-1.53859	1.03294e-12	-1.33883
