=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769735664
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
54.747	152.683	0.08	0.997987	0.00572168	2.77169e-05	1.73837	1.09518e-13	-1.03068	8.79487e-14	-1.27283	0.999682	0.00524819	2.75543e-05	1.60358	8.65785e-14	-1.71253	8.99305e-14	-1.28174
78.98	171.768	0.09	0.997763	0.00739723	4.72143e-05	1.71146	7.507e-13	-1.19118	6.88096e-13	-1.33141	0.999458	0.00685608	4.7048e-05	1.61361	6.71464e-13	-1.56025	6.95723e-13	-1.33501
102.66	190.854	0.1	0.997307	0.00991262	8.70289e-05	1.69674	5.29143e-12	-1.25583	5.08008e-12	-1.33743	0.999004	0.00929387	8.65474e-05	1.62888	4.9756e-12	-1.46334	5.11257e-12	-1.33899
124.571	209.939	0.11	0.996178	0.0142305	0.000185362	1.69912	4.60312e-11	-1.25841	4.50813e-11	-1.30382	0.99789	0.0135073	0.000183302	1.65546	4.438e-11	-1.37099	4.52802e-11	-1.30444
148.189	229.025	0.12	0.992185	0.0236096	0.000533169	1.7391	6.9724e-10	-1.1746	6.89416e-10	-1.19658	0.993988	0.0226769	0.0005216	1.71422	6.81913e-10	-1.22783	6.91927e-10	-1.19678
172.051	248.11	0.13	0.955987	0.0580486	0.00368283	1.96852	5.86034e-08	-0.714366	5.82257e-08	-0.720901	0.959592	0.0560797	0.00349611	1.95107	5.78294e-08	-0.729611	5.84284e-08	-0.720935
196.399	267.195	0.14	0.918668	-0.0729892	0.00692031	-2.12462	4.14057e-07	-2.61458	4.12381e-07	-2.61097	0.91565	-0.0751899	0.00726556	-2.13816	4.10889e-07	-2.60555	4.1375e-07	-2.61091
219.159	286.281	0.15	0.988713	-0.0275259	0.000831842	-1.7663	1.05204e-08	-1.87211	1.04894e-08	-1.86202	0.990178	-0.0286351	0.000840353	-1.75566	1.04807e-08	-1.84817	1.05255e-08	-1.86205
242.012	305.366	0.16	0.994749	-0.0164578	0.000307418	-1.70028	2.65995e-09	-1.72998	2.65323e-09	-1.71599	0.996374	-0.0174455	0.000307255	-1.68299	2.65694e-09	-1.69739	2.66261e-09	-1.71609
266.533	324.451	0.17	0.996425	-0.0116571	0.000161804	-1.67281	1.43498e-09	-1.66613	1.43152e-09	-1.65007	0.998073	-0.0126541	0.000161048	-1.65271	1.43606e-09	-1.62931	1.43665e-09	-1.65025
292.942	343.537	0.18	0.997116	-0.00894709	0.000100657	-1.65667	1.20204e-09	-1.56993	1.1997e-09	-1.55323	0.998776	-0.00998484	0.000100144	-1.63628	1.20893e-09	-1.53274	1.20397e-09	-1.55345
319.059	362.622	0.19	0.997488	-0.00719082	6.90034e-05	-1.64303	1.0644e-09	-1.59606	1.06176e-09	-1.57842	0.999138	-0.00827019	6.86742e-05	-1.62586	1.06746e-09	-1.55553	1.06555e-09	-1.57867
345.484	381.708	0.2	0.997698	-0.00592137	4.99923e-05	-1.63091	1.45394e-09	-1.56659	1.45041e-09	-1.54933	0.999344	-0.00705521	4.99807e-05	-1.61915	1.45846e-09	-1.52783	1.45548e-09	-1.54957
371.208	400.793	0.21	0.997814	-0.00492672	3.73313e-05	-1.62004	3.04464e-09	-1.3988	3.04496e-09	-1.38221	0.999434	-0.00611576	3.7579e-05	-1.61794	3.08715e-09	-1.36582	3.05518e-09	-1.3824
397.634	419.878	0.22	0.997808	-0.004038	2.76338e-05	-1.61656	3.80816e-09	-1.46792	3.78251e-09	-1.44366	0.99953	-0.00538261	2.91191e-05	-1.61415	3.80886e-09	-1.41269	3.79518e-09	-1.44384
422.077	438.964	0.23	0.997606	-0.00354402	2.30294e-05	-1.62761	2.80676e-08	-1.23343	2.77751e-08	-1.22407	0.999442	-0.00459227	2.12509e-05	-1.63	2.7851e-08	-1.19484	2.78659e-08	-1.22413
446.663	458.049	0.24	0.997072	-0.00333411	2.15272e-05	-1.677	1.02966e-07	1.83484	1.04957e-07	1.84696	0.997877	-0.00382005	1.57482e-05	-1.83747	1.09516e-07	1.83097	1.05302e-07	1.847
471.174	477.135	0.25	0.996722	-0.00331349	2.17489e-05	-1.70112	3.53192e-07	0.482895	3.52472e-07	0.478478	0.998056	-0.00456189	2.17834e-05	-1.77819	3.44032e-07	0.485236	3.53611e-07	0.478485
